Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat
18/05/2023;0:00:15;22375419200;ME2313741959;;0;2;PASS
18/05/2023;0:00:43;22375419203;ME2313741964;;0;1;PASS
18/05/2023;0:01:19;22375419206;ME2313741934;;0;8;PASS
18/05/2023;0:01:47;22375419208;ME2313741970;;0;7;PASS
18/05/2023;0:02:15;22375419444;ME2313741922;;0;6;PASS
18/05/2023;0:02:46;22375419446;ME2313741966;;0;5;PASS
18/05/2023;0:03:19;7,23231E+11;ME2313741954;;-233;4;FAIL
18/05/2023;0:04:01;;;;-199;4;FAIL
18/05/2023;0:04:28;22375419680;ME2313741952;;0;3;PASS
18/05/2023;0:04:56;22375419682;ME2313741953;;0;2;PASS
18/05/2023;0:05:28;22375419685;ME2313741918;;0;1;PASS
18/05/2023;0:05:54;22375419688;ME2313741971;;0;8;PASS
18/05/2023;0:06:23;22375419442;ME2313741912;;0;7;PASS
18/05/2023;0:06:53;22375419607;ME2313741911;;0;6;PASS
18/05/2023;0:07:20;22375419608;ME2313741999;;0;5;PASS
18/05/2023;0:07:54;4,23231E+11;ME2313741997;;-233;4;FAIL
18/05/2023;0:08:24;22375419612;ME2313742000;;0;3;PASS
18/05/2023;0:08:53;22375419615;ME2313742004;;0;2;PASS
18/05/2023;0:09:25;22375419684;ME2313741994;;0;1;PASS
18/05/2023;0:10:01;22375419848;ME2313741938;;0;8;PASS
18/05/2023;0:10:29;22375419850;ME2313741996;;0;7;PASS
18/05/2023;0:11:06;22375419853;ME2313742001;;0;6;PASS
18/05/2023;0:11:34;22375419856;ME2313742005;;0;5;PASS
18/05/2023;0:12:02;22375419617;ME2313741997;;0;4;PASS
18/05/2023;0:12:43;;;;-199;4;FAIL
18/05/2023;0:13:21;22375419618;ME2313742008;;0;3;PASS
18/05/2023;0:13:57;22375419621;ME2313741845;;0;2;PASS
18/05/2023;0:14:33;22375419624;ME2313742009;;0;1;PASS
18/05/2023;0:15:07;22375419626;ME2313741998;;0;8;PASS
18/05/2023;0:15:38;22375419630;ME2313742010;;0;7;PASS
18/05/2023;0:16:06;22375419861;ME2313742011;;0;6;PASS
18/05/2023;0:16:35;22375419863;ME2313741950;;0;5;PASS
18/05/2023;0:17:07;22375419866;ME2313742033;;0;4;PASS
18/05/2023;0:17:33;22375419869;ME2313742031;;0;3;PASS
18/05/2023;0:18:03;22375419401;ME2313742021;;0;2;PASS
18/05/2023;0:18:36;22375419633;ME2313742032;;0;1;PASS
18/05/2023;0:19:07;22375419635;ME2313742027;;0;8;PASS
18/05/2023;0:19:34;22375419638;ME2313742017;;0;7;PASS
18/05/2023;0:20:01;22375419641;ME2313742040;;0;6;PASS
18/05/2023;0:20:32;22375419643;ME2313742043;;0;5;PASS
18/05/2023;0:21:04;4,23231E+11;ME2313742044;;-233;4;FAIL
18/05/2023;0:21:32;22375419872;ME2313742039;;0;3;PASS
18/05/2023;0:22:00;22375419874;ME2313741907;;0;2;PASS
18/05/2023;0:22:31;22375419877;ME2313742058;;0;1;PASS
18/05/2023;0:23:03;22375419883;ME2313742051;;0;8;PASS
18/05/2023;0:23:29;22375419884;ME2313742073;;0;7;PASS
18/05/2023;0:23:59;22375419379;ME2313742013;;0;6;PASS
18/05/2023;0:24:26;22375419402;ME2313741931;;0;5;PASS
18/05/2023;0:24:55;4,23231E+11;ME2313742036;;-233;4;FAIL
18/05/2023;0:25:25;22375419406;ME2313742066;;0;3;PASS
18/05/2023;0:26:03;22375419644;ME2313742060;;0;2;PASS
18/05/2023;0:26:32;22375419646;ME2313742062;;0;1;PASS
18/05/2023;0:27:06;22375419880;ME2313742054;;0;8;PASS
18/05/2023;0:27:47;22375419882;ME2313742083;;0;7;PASS
18/05/2023;0:28:16;22375419886;ME2313742071;;0;6;PASS
18/05/2023;0:29:11;22375419889;ME2313742063;;0;5;PASS
18/05/2023;0:29:43;4,23231E+11;ME2313742047;;-233;4;FAIL
18/05/2023;0:30:14;22375420121;ME2313742036;;0;3;PASS
18/05/2023;0:30:43;22375419371;ME2313742061;;0;2;PASS
18/05/2023;0:31:17;22375419375;ME2313742082;;0;1;PASS
18/05/2023;0:31:45;22375419381;ME2313742068;;0;8;PASS
18/05/2023;0:32:18;22375419383;ME2313741937;;0;7;PASS
18/05/2023;0:32:52;22375419389;ME2313742097;;0;6;PASS
18/05/2023;0:33:29;22375420115;ME2313742104;;0;5;PASS
18/05/2023;0:33:58;7,23231E+11;ME2313742107;;-233;4;FAIL
18/05/2023;0:34:26;22375420119;ME2313742110;;0;3;PASS
18/05/2023;0:34:55;22375420124;ME2313742108;;0;2;PASS
18/05/2023;0:35:27;4,23231E+11;ME2313742047;;-212;1;FAIL
18/05/2023;0:35:53;4,23231E+11;;;-107;1;FAIL
18/05/2023;0:36:20;22375420129;ME2313742100;;0;8;PASS
18/05/2023;0:36:48;22375420130;ME2313742112;;0;7;PASS
18/05/2023;0:37:21;22375419385;ME2313742116;;0;6;PASS
18/05/2023;0:37:49;22375419387;ME2313742115;;0;5;PASS
18/05/2023;0:38:17;22375419393;ME2313742102;;0;4;PASS
18/05/2023;0:38:46;22375419396;ME2313742127;;0;3;PASS
18/05/2023;0:39:18;22375419399;ME2313742136;;-502;2;FAIL
18/05/2023;0:39:48;22375420133;ME2313742131;;0;1;PASS
18/05/2023;0:40:16;22375420136;ME2313742049;;0;8;PASS
18/05/2023;0:40:45;22375420139;ME2313742132;;0;7;PASS
18/05/2023;0:41:18;22375420141;ME2313742129;;0;6;PASS
18/05/2023;0:41:59;;;;-199;6;FAIL
18/05/2023;0:42:28;22375420143;ME2313742121;;0;5;PASS
18/05/2023;0:42:56;22375420153;ME2313742122;;0;4;PASS
18/05/2023;0:48:43;22375419579;ME2313742166;;0;3;PASS
18/05/2023;0:49:11;22375419331;ME2313742146;;0;2;PASS
18/05/2023;0:49:40;22375419335;ME2313741977;;0;1;PASS
18/05/2023;0:50:08;22375419338;ME2313742150;;0;8;PASS
18/05/2023;0:50:38;22375419344;ME2313742149;;0;7;PASS
18/05/2023;0:51:06;22375419171;ME2313742153;;0;6;PASS
18/05/2023;0:51:35;22375419172;ME2313742163;;0;5;PASS
18/05/2023;0:52:03;4,23231E+11;ME2313741941;;-201;4;FAIL
18/05/2023;0:52:33;22375419179;ME2313742173;;0;3;PASS
18/05/2023;0:53:10;22375419586;ME2313741657;;0;2;PASS
18/05/2023;0:53:40;22375419588;ME2313742158;;0;1;PASS
18/05/2023;0:54:11;22375420157;ME2313742171;;0;8;PASS
18/05/2023;0:54:42;22375420159;ME2313742180;;0;7;PASS
18/05/2023;0:55:10;22375420162;ME2313741946;;0;6;PASS
18/05/2023;0:57:02;22375420165;ME2313742070;;0;5;PASS
18/05/2023;0:57:29;22375419177;ME2313741941;;-502;4;FAIL
18/05/2023;0:57:59;22375419178;ME2313742194;;0;3;PASS
18/05/2023;0:58:27;22375419182;ME2313742195;;-802;2;FAIL
18/05/2023;0:59:05;22375419186;ME2313742197;;0;1;PASS
18/05/2023;0:59:31;4,23231E+11;ME2313742196;;-214;8;FAIL
18/05/2023;1:00:01;22375419348;ME2313742211;;0;7;PASS
18/05/2023;1:00:30;22375419580;ME2313742217;;0;6;PASS
18/05/2023;1:01:01;22375419589;ME2313742224;;0;5;PASS
18/05/2023;1:01:31;22375420167;ME2313742160;;0;4;PASS
18/05/2023;1:01:59;22375419188;ME2313742201;;0;3;PASS
18/05/2023;1:02:30;22375419190;ME2313742199;;0;2;PASS
18/05/2023;1:03:05;22375419193;ME2313742204;;0;1;PASS
18/05/2023;1:03:34;22375419341;ME2313742156;;0;8;PASS
18/05/2023;1:04:04;22375419355;ME2313742206;;0;7;PASS
18/05/2023;1:04:31;22375419182;ME2313742195;;-802;6;FAIL
18/05/2023;1:05:06;22375419357;ME2313742139;;0;5;PASS
18/05/2023;1:05:33;22375419582;ME2313742220;;0;4;PASS
18/05/2023;1:06:01;22375419584;ME2313742178;;0;3;PASS
18/05/2023;1:06:30;4,23231E+11;ME2313742238;;-207;2;FAIL
18/05/2023;1:07:05;22375419597;ME2313742183;;0;1;PASS
18/05/2023;1:07:33;22375419195;ME2313742260;;0;8;PASS
18/05/2023;1:08:01;22375419196;ME2313742249;;0;7;PASS
18/05/2023;1:08:29;22375419182;ME2313742195;;-802;6;FAIL
18/05/2023;1:09:05;22375419199;ME2313742250;;0;5;PASS
18/05/2023;1:09:31;22375419351;ME2313742169;;0;4;PASS
18/05/2023;1:09:59;22375419353;ME2313742254;;0;3;PASS
18/05/2023;1:10:28;22375419367;ME2313742238;;0;2;PASS
18/05/2023;1:10:56;22375419591;ME2313742266;;0;1;PASS
18/05/2023;1:11:24;22375419593;ME2313742267;;0;8;PASS
18/05/2023;1:11:53;22375419595;ME2313742253;;0;7;PASS
18/05/2023;1:12:27;22375420100;ME2313742269;;0;6;PASS
18/05/2023;1:13:06;22375420103;ME2313742276;;-126;5;FAIL
18/05/2023;1:13:33;7,23231E+11;ME2313742175;;-233;4;FAIL
18/05/2023;1:14:33;22375420110;ME2313742275;;-126;3;FAIL
18/05/2023;1:23:56;22375419362;ME2313742274;;-126;2;FAIL
18/05/2023;1:27:46;22375419365;ME2313742203;;-126;1;FAIL
18/05/2023;1:28:15;22375420108;ME2313742278;;-126;8;FAIL
18/05/2023;1:31:10;22375420510;ME2313742281;;0;7;PASS
18/05/2023;1:31:38;22375420991;ME2313742232;;0;6;PASS
18/05/2023;1:32:11;22375420993;ME2313742245;;0;5;PASS
18/05/2023;1:32:38;22375420994;ME2313742175;;0;4;PASS
18/05/2023;1:33:16;22375420110;ME2313742275;;0;3;PASS
18/05/2023;1:33:44;22375419362;ME2313742274;;0;2;PASS
18/05/2023;1:34:14;22375419365;ME2313742203;;0;1;PASS
18/05/2023;1:34:52;22375420108;ME2313742278;;0;8;PASS
