Date;Heure;NS;SFC;@ mac;Code err;Interface;Resultat;
18/05/23;00:00:15;022375419200;ME2313741959;;0;2;PASS;
18/05/23;00:00:43;022375419203;ME2313741964;;0;1;PASS;
18/05/23;00:01:19;022375419206;ME2313741934;;0;8;PASS;
18/05/23;00:01:47;022375419208;ME2313741970;;0;7;PASS;
18/05/23;00:02:15;022375419444;ME2313741922;;0;6;PASS;
18/05/23;00:02:46;022375419446;ME2313741966;;0;5;PASS;
18/05/23;00:03:19;723231374188;ME2313741954;;-233;4;FAIL;
18/05/23;00:04:01;;;;-199;4;FAIL;
18/05/23;00:04:28;022375419680;ME2313741952;;0;3;PASS;
18/05/23;00:04:56;022375419682;ME2313741953;;0;2;PASS;
18/05/23;00:05:28;022375419685;ME2313741918;;0;1;PASS;
18/05/23;00:05:54;022375419688;ME2313741971;;0;8;PASS;
18/05/23;00:06:23;022375419442;ME2313741912;;0;7;PASS;
18/05/23;00:06:53;022375419607;ME2313741911;;0;6;PASS;
18/05/23;00:07:20;022375419608;ME2313741999;;0;5;PASS;
18/05/23;00:07:54;423231373743;ME2313741997;;-233;4;FAIL;
18/05/23;00:08:24;022375419612;ME2313742000;;0;3;PASS;
18/05/23;00:08:53;022375419615;ME2313742004;;0;2;PASS;
18/05/23;00:09:25;022375419684;ME2313741994;;0;1;PASS;
18/05/23;00:10:01;022375419848;ME2313741938;;0;8;PASS;
18/05/23;00:10:29;022375419850;ME2313741996;;0;7;PASS;
18/05/23;00:11:06;022375419853;ME2313742001;;0;6;PASS;
18/05/23;00:11:34;022375419856;ME2313742005;;0;5;PASS;
18/05/23;00:12:02;022375419617;ME2313741997;;0;4;PASS;
18/05/23;00:12:43;;;;-199;4;FAIL;
18/05/23;00:13:21;022375419618;ME2313742008;;0;3;PASS;
18/05/23;00:13:57;022375419621;ME2313741845;;0;2;PASS;
18/05/23;00:14:33;022375419624;ME2313742009;;0;1;PASS;
18/05/23;00:15:07;022375419626;ME2313741998;;0;8;PASS;
18/05/23;00:15:38;022375419630;ME2313742010;;0;7;PASS;
18/05/23;00:16:06;022375419861;ME2313742011;;0;6;PASS;
18/05/23;00:16:35;022375419863;ME2313741950;;0;5;PASS;
18/05/23;00:17:07;022375419866;ME2313742033;;0;4;PASS;
18/05/23;00:17:33;022375419869;ME2313742031;;0;3;PASS;
18/05/23;00:18:03;022375419401;ME2313742021;;0;2;PASS;
18/05/23;00:18:36;022375419633;ME2313742032;;0;1;PASS;
18/05/23;00:19:07;022375419635;ME2313742027;;0;8;PASS;
18/05/23;00:19:34;022375419638;ME2313742017;;0;7;PASS;
18/05/23;00:20:01;022375419641;ME2313742040;;0;6;PASS;
18/05/23;00:20:32;022375419643;ME2313742043;;0;5;PASS;
18/05/23;00:21:04;423231374625;ME2313742044;;-233;4;FAIL;
18/05/23;00:21:32;022375419872;ME2313742039;;0;3;PASS;
18/05/23;00:22:00;022375419874;ME2313741907;;0;2;PASS;
18/05/23;00:22:31;022375419877;ME2313742058;;0;1;PASS;
18/05/23;00:23:03;022375419883;ME2313742051;;0;8;PASS;
18/05/23;00:23:29;022375419884;ME2313742073;;0;7;PASS;
18/05/23;00:23:59;022375419379;ME2313742013;;0;6;PASS;
18/05/23;00:24:26;022375419402;ME2313741931;;0;5;PASS;
18/05/23;00:24:55;423231372438;ME2313742036;;-233;4;FAIL;
18/05/23;00:25:25;022375419406;ME2313742066;;0;3;PASS;
18/05/23;00:26:03;022375419644;ME2313742060;;0;2;PASS;
